DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,FATAL_NO,SPEEDING,REDLIGHT,ALCOHOL,HOOD_158,NEIGHBOURHOOD_158,DIVISION,row_num
2019-06-20,13:15:00,REGENT PARK BLVD,None,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Pedestrian,35 to 39,Fatal,23,None,None,None,72,Regent Park,D51,1
2019-06-20,13:15:00,REGENT PARK BLVD,None,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Driver,40 to 44,None,None,None,None,None,72,Regent Park,D51,2
2019-06-20,15:32:00,DANFORTH AVE,BYRON AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,70 to 74,None,None,None,None,None,69,Blake-Jones,D55,1
2019-06-20,15:32:00,DANFORTH AVE,BYRON AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,45 to 49,Major,None,None,None,None,69,Blake-Jones,D55,2
2019-06-20,15:32:00,DANFORTH AVE,BYRON AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,65 to 69,None,None,None,None,None,69,Blake-Jones,D55,3
2019-06-20,22:04:00,ST CLAIR AVE E,BIRCHMOUNT RD,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,unknown,None,None,None,Yes,None,120,Clairlea-Birchmount,D41,1
2019-06-20,22:04:00,ST CLAIR AVE E,BIRCHMOUNT RD,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,20 to 24,Major,None,None,Yes,None,120,Clairlea-Birchmount,D41,2
2019-06-21,12:30:00,ISLINGTON AVE,MEADOWVALE DR,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,65 to 69,None,None,None,Yes,None,16,Stonegate-Queensway,D22,1
2019-06-21,12:30:00,ISLINGTON AVE,MEADOWVALE DR,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,30 to 34,Major,None,None,Yes,None,16,Stonegate-Queensway,D22,2
2019-06-22,19:09:00,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Fatal,Passenger,10 to 14,Minor,None,None,Yes,None,141,Golfdale-Cedarbrae-Woburn,D43,1
2019-06-22,19:09:00,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Fatal,Passenger,70 to 74,Minor,None,None,Yes,None,141,Golfdale-Cedarbrae-Woburn,D43,2
2019-06-22,19:09:00,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Fatal,Driver,75 to 79,Fatal,24,None,Yes,None,141,Golfdale-Cedarbrae-Woburn,D43,3
2019-06-22,19:09:00,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Fatal,Passenger,20 to 24,Minor,None,None,Yes,None,141,Golfdale-Cedarbrae-Woburn,D43,4
2019-06-22,19:09:00,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Fatal,Driver,20 to 24,None,None,None,Yes,None,141,Golfdale-Cedarbrae-Woburn,D43,5
2019-06-25,8:20:00,PHARMACY AVE,PRINCEWAY DR,Minor Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,None,None,None,None,None,119,Wexford/Maryvale,D41,1
2019-06-25,8:20:00,PHARMACY AVE,PRINCEWAY DR,Minor Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,30 to 34,Major,None,None,None,None,119,Wexford/Maryvale,D41,2
2019-06-25,16:09:00,NORTHLAND AVE,WESTON RD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,Minimal,None,None,None,None,90,Junction Area,D12,1
2019-06-25,16:09:00,NORTHLAND AVE,WESTON RD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,10 to 14,Major,None,None,None,None,90,Junction Area,D12,2
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,None,None,156,Bendale-Glen Andrew,D41,1
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,None,None,None,None,None,156,Bendale-Glen Andrew,D41,2
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,None,None,None,None,None,156,Bendale-Glen Andrew,D41,3
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,35 to 39,Major,None,None,None,None,156,Bendale-Glen Andrew,D41,4
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,55 to 59,None,None,None,None,None,156,Bendale-Glen Andrew,D41,5
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 24,None,None,None,None,None,156,Bendale-Glen Andrew,D41,6
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 24,None,None,None,None,None,156,Bendale-Glen Andrew,D41,7
2019-06-25,20:02:00,MIDLAND AVE,MIDWEST RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 24,None,None,None,None,None,156,Bendale-Glen Andrew,D41,8
2019-06-25,22:13:00,715 FINCH AVE W,None,Major Arterial,North York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,65 to 69,Minimal,None,None,Yes,None,34,Bathurst Manor,D32,1
2019-06-25,22:13:00,715 FINCH AVE W,None,Major Arterial,North York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Motorcycle Driver,55 to 59,Major,None,None,Yes,None,34,Bathurst Manor,D32,2
2019-06-26,9:02:00,VICTORIA ST,QUEEN ST E,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Driver,40 to 44,None,None,None,None,None,168,Downtown Yonge East,D51,1
2019-06-26,9:02:00,VICTORIA ST,QUEEN ST E,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Fatal,Pedestrian,55 to 59,Fatal,25,None,None,None,168,Downtown Yonge East,D51,2
2019-06-27,18:50:00,LAKE SHORE BLVD W,TENTH ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,None,None,None,Yes,None,18,New Toronto,D22,1
2019-06-27,18:50:00,LAKE SHORE BLVD W,TENTH ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,80 to 84,Major,None,None,Yes,None,18,New Toronto,D22,2
2019-06-28,12:22:00,ADELAIDE ST E,BERKELEY ST,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,60 to 64,Major,None,None,None,None,73,Moss Park,D51,1
2019-06-28,12:22:00,ADELAIDE ST E,BERKELEY ST,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,25 to 29,None,None,None,None,None,73,Moss Park,D51,2
2019-06-28,12:22:00,ADELAIDE ST E,BERKELEY ST,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,None,None,None,None,None,73,Moss Park,D51,3
2019-06-28,12:22:00,ADELAIDE ST E,BERKELEY ST,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,None,None,None,None,None,73,Moss Park,D51,4
2019-07-01,7:19:00,ST CLAIR AVE W,OAKWOOD AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,55 to 59,None,None,None,None,None,94,Wychwood,D13,1
2019-07-01,7:19:00,ST CLAIR AVE W,OAKWOOD AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,60 to 64,Major,None,None,None,None,94,Wychwood,D13,2
2019-07-02,10:15:00,BRIMLEY RD,KINGSTON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,55 to 59,None,None,None,Yes,None,123,Cliffcrest,D43,1
2019-07-02,10:15:00,BRIMLEY RD,KINGSTON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,Minor,None,None,Yes,None,123,Cliffcrest,D43,2
2019-07-02,10:15:00,BRIMLEY RD,KINGSTON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,None,None,None,Yes,None,123,Cliffcrest,D43,3
2019-07-02,10:15:00,BRIMLEY RD,KINGSTON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,60 to 64,Major,None,None,Yes,None,123,Cliffcrest,D43,4
2019-07-02,10:15:00,BRIMLEY RD,KINGSTON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,None,None,None,Yes,None,123,Cliffcrest,D43,5
2019-07-03,6:35:00,MORTIMER AVE,WOODBINE AVE,Minor Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,Major,None,None,None,None,60,Woodbine-Lumsden,D55,1
2019-07-03,7:35:00,DAVENPORT RD,HECTOR AVE,Minor Arterial,Toronto and East York,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Driver,40 to 44,None,None,None,Yes,None,94,Wychwood,D13,1
2019-07-03,7:35:00,DAVENPORT RD,HECTOR AVE,Minor Arterial,Toronto and East York,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Cyclist,45 to 49,Major,None,None,Yes,None,94,Wychwood,D13,2
2019-07-03,9:20:00,LAWRENCE AVE W,KEELE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,45 to 49,Minimal,None,None,None,None,30,Brookhaven-Amesbury,D12,1
2019-07-03,9:20:00,LAWRENCE AVE W,KEELE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,50 to 54,Major,None,None,None,None,30,Brookhaven-Amesbury,D12,2
2019-07-04,9:10:00,PHARMACY AVE,LAWRENCE AVE E,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 64,None,None,None,Yes,None,119,Wexford/Maryvale,D41,1
2019-07-04,9:10:00,PHARMACY AVE,LAWRENCE AVE E,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,55 to 59,Major,None,None,Yes,None,119,Wexford/Maryvale,D41,2
2019-07-04,19:15:00,YONGE ST,ABITIBI AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,Major,None,Yes,Yes,None,50,Newtonbrook East,D32,1
2019-07-04,19:15:00,YONGE ST,ABITIBI AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,70 to 74,Minor,None,Yes,Yes,None,50,Newtonbrook East,D32,2
2019-07-04,19:15:00,YONGE ST,ABITIBI AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,30 to 34,Minimal,None,Yes,Yes,None,50,Newtonbrook East,D32,3
2019-07-07,6:12:00,ROCKWELL AVE,OLD WESTON RD,Collector,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,25 to 29,Major,None,Yes,Yes,None,91,Weston-Pelham Park,D12,1
2019-07-07,20:10:00,SHEPPARD AVE E,NEILSON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 24,None,None,None,None,None,146,Malvern East,D42,1
2019-07-07,20:10:00,SHEPPARD AVE E,NEILSON RD,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,25 to 29,Major,None,None,None,None,146,Malvern East,D42,2
2019-07-08,2:51:00,PARKSIDE DR,CONSTANCE ST,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,45 to 49,None,None,None,None,None,87,High Park-Swansea,D11,1
2019-07-08,2:51:00,PARKSIDE DR,CONSTANCE ST,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,30 to 34,None,None,None,None,None,87,High Park-Swansea,D11,2
2019-07-08,2:51:00,PARKSIDE DR,CONSTANCE ST,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,40 to 44,Major,None,None,None,None,87,High Park-Swansea,D11,3
2019-07-08,10:40:00,BLACK CREEK DR,LAWRENCE AVE W,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Truck Driver,40 to 44,None,None,None,None,None,30,Brookhaven-Amesbury,D12,1
2019-07-08,10:40:00,BLACK CREEK DR,LAWRENCE AVE W,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,50 to 54,Major,None,None,None,None,30,Brookhaven-Amesbury,D12,2
2019-07-08,10:40:00,BLACK CREEK DR,LAWRENCE AVE W,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Passenger,20 to 24,Major,None,None,None,None,30,Brookhaven-Amesbury,D12,3
2019-07-10,12:21:00,1 YORK GATE BLVD,None,Minor Arterial,North York,Clear,Daylight,Dry,Fatal,Pedestrian,60 to 64,Major,None,None,None,None,24,Black Creek,D31,1
2019-07-10,12:21:00,1 YORK GATE BLVD,None,Minor Arterial,North York,Clear,Daylight,Dry,Fatal,Driver,25 to 29,None,None,None,None,None,24,Black Creek,D31,2
2019-07-10,12:21:00,1 YORK GATE BLVD,None,Minor Arterial,North York,Clear,Daylight,Dry,Fatal,Pedestrian,60 to 64,Fatal,26,None,None,None,24,Black Creek,D31,3
2019-07-12,14:15:00,DUFFERIN ST,GERRY FITZGERALD DR,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,80 to 84,None,None,None,Yes,None,34,Bathurst Manor,D32,1
2019-07-12,14:15:00,DUFFERIN ST,GERRY FITZGERALD DR,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,20 to 24,Major,None,None,Yes,None,34,Bathurst Manor,D32,2
2019-07-12,18:20:00,114 TORYORK DR,None,Collector,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,15 to 19,None,None,None,Yes,None,21,Humber Summit,D31,1
2019-07-12,18:20:00,114 TORYORK DR,None,Collector,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,35 to 39,Major,None,None,Yes,None,21,Humber Summit,D31,2
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,25 to 29,Major,None,Yes,Yes,None,119,Wexford/Maryvale,D41,1
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,2
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,35 to 39,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,3
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,70 to 74,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,4
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 4,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,5
2019-07-14,13:09:00,LAWRENCE AVE E,TOWNLEY AVE,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 4,None,None,Yes,Yes,None,119,Wexford/Maryvale,D41,6
2019-07-16,14:01:00,BARKWOOD CRES,CLIFFWOOD RD,Local,North York,Clear,Daylight,Dry,Fatal,Pedestrian,65 to 69,Fatal,27,None,Yes,None,48,Hillcrest Village,D33,1
2019-07-16,14:01:00,BARKWOOD CRES,CLIFFWOOD RD,Local,North York,Clear,Daylight,Dry,Fatal,Driver,45 to 49,None,None,None,Yes,None,48,Hillcrest Village,D33,2
2019-07-18,22:40:00,DUNDAS ST W,DONNYBROOK LANE,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Fatal,Driver,55 to 59,None,None,None,Yes,None,15,Kingsway South,D22,1
2019-07-18,22:40:00,DUNDAS ST W,DONNYBROOK LANE,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Dry,Fatal,Motorcycle Driver,25 to 29,Fatal,28,None,Yes,None,15,Kingsway South,D22,2
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,None,None,25,Glenfield-Jane Heights,D31,1
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,70 to 74,None,None,None,None,None,25,Glenfield-Jane Heights,D31,2
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,None,None,None,None,None,25,Glenfield-Jane Heights,D31,3
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,60 to 64,Major,None,None,None,None,25,Glenfield-Jane Heights,D31,4
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,50 to 54,None,None,None,None,None,25,Glenfield-Jane Heights,D31,5
2019-07-19,19:24:00,FINCH AVE W,JANE ST,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,25 to 29,None,None,None,None,None,25,Glenfield-Jane Heights,D31,6
2019-07-20,1:10:00,AVENUE RD,BERNARD AVE,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,None,None,95,Annex,D53,1
2019-07-20,1:10:00,AVENUE RD,BERNARD AVE,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,50 to 54,Major,None,None,None,None,95,Annex,D53,2
2019-07-20,1:35:00,BLOOR ST W,BALMUTO ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,None,None,169,Bay-Cloverhill,D52,1
2019-07-20,1:35:00,BLOOR ST W,BALMUTO ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist,40 to 44,Major,None,None,None,None,169,Bay-Cloverhill,D52,2
2019-07-20,22:15:00,PHARMACY AVE,EGLINTON AVE E,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Driver,55 to 59,None,None,None,Yes,None,120,Clairlea-Birchmount,D41,1
2019-07-20,22:15:00,PHARMACY AVE,EGLINTON AVE E,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,40 to 44,None,None,None,Yes,None,120,Clairlea-Birchmount,D41,2
2019-07-20,22:15:00,PHARMACY AVE,EGLINTON AVE E,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,10 to 14,None,None,None,Yes,None,120,Clairlea-Birchmount,D41,3
2019-07-20,22:15:00,PHARMACY AVE,EGLINTON AVE E,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Passenger,10 to 14,None,None,None,Yes,None,120,Clairlea-Birchmount,D41,4
2019-07-20,22:15:00,PHARMACY AVE,EGLINTON AVE E,Major Arterial,Scarborough,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,40 to 44,Major,None,None,Yes,None,120,Clairlea-Birchmount,D41,5
2019-07-22,0:21:00,OSSINGTON AVE,BLOOR ST W,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Motorcycle Driver,20 to 24,Major,None,Yes,Yes,None,80,Palmerston-Little Italy,D14,1
2019-07-22,0:21:00,OSSINGTON AVE,BLOOR ST W,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,30 to 34,None,None,Yes,Yes,None,80,Palmerston-Little Italy,D14,2
2019-07-24,5:49:00,VICTORIA PARK AVE,IVORDALE CRES,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,45 to 49,None,None,None,Yes,None,119,Wexford/Maryvale,D41,1
2019-07-24,5:49:00,VICTORIA PARK AVE,IVORDALE CRES,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,Major,None,None,Yes,None,119,Wexford/Maryvale,D41,2
2019-07-25,17:12:00,STEELES AVE E,LESLIE ST,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,45 to 49,Major,None,None,None,None,48,Hillcrest Village,D33,1
2019-07-25,17:12:00,STEELES AVE E,LESLIE ST,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,50 to 54,None,None,None,None,None,48,Hillcrest Village,D33,2
2019-07-25,18:57:00,WILSON AVE,BATHURST ST,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,15 to 19,Major,None,None,Yes,None,38,Lansing-Westgate,D32,1
2019-07-25,18:57:00,WILSON AVE,BATHURST ST,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,30 to 34,Minor,None,None,Yes,None,38,Lansing-Westgate,D32,2
2019-07-25,22:45:00,KINGSTON RD,PORT UNION RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,50 to 54,None,None,None,Yes,None,143,West Rouge,D42,1
2019-07-25,22:45:00,KINGSTON RD,PORT UNION RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,50 to 54,Major,None,None,Yes,None,143,West Rouge,D42,2
2019-07-26,14:36:00,THE QUEENSWAY,VIBE RD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,50 to 54,Major,None,None,None,None,159,Etobicoke City Centre,D22,1
2019-07-26,14:36:00,THE QUEENSWAY,VIBE RD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,None,None,159,Etobicoke City Centre,D22,2
2019-07-26,14:36:00,THE QUEENSWAY,VIBE RD,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Passenger,25 to 29,Major,None,None,None,None,159,Etobicoke City Centre,D22,3
2019-07-26,16:30:00,857 ELLESMERE RD,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,unknown,None,None,Yes,Yes,None,126,Dorset Park,D41,1
2019-07-26,16:30:00,857 ELLESMERE RD,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 64,Major,None,Yes,Yes,None,126,Dorset Park,D41,2
2019-07-26,16:30:00,857 ELLESMERE RD,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,15 to 19,Minimal,None,Yes,Yes,None,126,Dorset Park,D41,3
2019-07-26,16:30:00,857 ELLESMERE RD,None,Major Arterial,Scarborough,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 24,None,None,Yes,Yes,None,126,Dorset Park,D41,4
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,25 to 29,None,None,None,Yes,Yes,119,Wexford/Maryvale,D41,1
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,30 to 34,Major,None,None,Yes,Yes,119,Wexford/Maryvale,D41,2
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,30 to 34,Minimal,None,None,Yes,Yes,119,Wexford/Maryvale,D41,3
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,20 to 24,Minimal,None,None,Yes,Yes,119,Wexford/Maryvale,D41,4
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,30 to 34,Minimal,None,None,Yes,Yes,119,Wexford/Maryvale,D41,5
2019-07-26,23:10:00,VICTORIA PARK AVE,ELLESMERE RD,Major Arterial,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,25 to 29,Major,None,None,Yes,Yes,119,Wexford/Maryvale,D41,6
2019-07-28,1:48:00,FITZGIBBON AVE,LORD ROBERTS DR,Local,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,25 to 29,Minor,None,Yes,Yes,None,138,Eglinton East,D41,1
2019-07-28,1:48:00,FITZGIBBON AVE,LORD ROBERTS DR,Local,Scarborough,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Passenger,20 to 24,Major,None,Yes,Yes,None,138,Eglinton East,D41,2
2019-07-28,10:54:00,ISLINGTON AVE,MILLWICK DR,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Fatal,Driver,25 to 29,None,None,None,Yes,None,21,Humber Summit,D31,1
2019-07-28,10:54:00,ISLINGTON AVE,MILLWICK DR,Major Arterial,Etobicoke York,Clear,Daylight,Dry,Fatal,Pedestrian,70 to 74,Fatal,29,None,Yes,None,21,Humber Summit,D31,2
2019-07-28,15:03:00,ST CLAIR AVE E,GLENBURN AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,85 to 89,Minimal,None,None,Yes,None,54,O'Connor-Parkview,D55,1
2019-07-28,15:03:00,ST CLAIR AVE E,GLENBURN AVE,Major Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Motorcycle Driver,55 to 59,Major,None,None,Yes,None,54,O'Connor-Parkview,D55,2
2019-07-29,19:37:00,GERRARD ST E,CARLAW AVE,Minor Arterial,Toronto and East York,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,55 to 59,Major,None,None,None,None,70,South Riverdale,D55,1
